Token,Index
,"[['1026674', '1030052', '1032501', '1033790', '1034279', '1034479', '1036067', '1049189', '1050339', '1056733', '1063190', '1069628', '1077497', '1221515', '1312333', '1367458', '1388169', '1389960', '1421921', '1424555', '1427288', '1436348', '1440992', '1457306', '1474688', '1786670', '1868896', '1948502', '2062200', '3088496', '3181927', '4618225'], ['1032501', '1034479', '1050339', '1069628', '1312333', '1389960', '1427288', '1457306', '1868896', '3088496']]"
!,"[['1000323', '1000445', '1000517', '1000594', '1001193', '1001896', '1004821', '1006004', '1006073', '1006113', '1006881', '1007334', '1007914', '1009160', '1009459', '1011662', '1012203', '1012242', '1012561', '1012747', '1012802', '1013369', '1013416', '1014533', '1015452', '1016300', '1016523', '1017143', '1018136', '1018153', '1019428', '1019568', '1020670', '1020959', '1021056', '1021193', '1021597', '1022060', '1022238', '1023045', '1024217', '1026425', '1026674', '1028916', '1029159', '1031740', '1032501', '1032645', '1033790', '1034108', '1034479', '1035362', '1036067', '1036243', '1036684', '1037602', '1039752', '1041111', '1041550', '1043201', '1043815', '1044203', '1044547', '1045818', '1046265', '1046385', '1047447', '1049189', '1051797', '1056868', '1058661', '1059336', '1059406', '1059419', '1059537', '1060774', '1062326', '1063190', '1063245', '1064862', '1068308', '1069628', '1069848', '1070851', '1074841', '1076045', '1079440', '1080370', '1080544', '1082387', '1082406', '1082522', '1083375', '1084336', '1085470', '1089523', '1090043', '1101607', '1138986', '1140727', '1192090', '1200840', '1204889', '1205370', '1212080', '1212152', '1212453', '1221515', '1226062', '1255625', '1258489', '1258490', '1277981', '1283273', '1291760', '1291809', '1292416', '1316648', '1321789', '1329941', '1337279', '1388169', '1398395', '1400705', '1418180', '1418707', '1420862', '1421921', '1426971', '1428691', '1431836', '1432422', '1433659', '1433700', '1438461', '1439216', '1440101', '1440345', '1440589', '1441869', '1449348', '1449351', '1457306', '1461903', '1465324', '1467022', '1467535', '1468493', '1469051', '1471701', '1474688', '1480980', '1481362', '1529893', '1581547', '1596305', '1753798', '1765512', '1772786', '1781300', '1786387', '1786670', '1793713', '1794620', '1812439', '1819974', '1822793', '1848256', '1853785', '1855343', '1856285', '1858576', '1859140', '1863930', '1867064', '1903968', '1914083', '1925218', '1926700', '1937939', '1939182', '1941301', '1949338', '1949925', '1962929', '1964044', '1965977', '2008284', '2008972', '2009825', '2035179', '2038238', '2056749', '2062430', '2064450', '2067299', '2118032', '2119843', '2129427', '2131415', '2160556', '2171321', '2209098', '2233893', '2243692', '2250587', '2256039', '2280027', '2297697', '2297706', '2331434', '2336093', '2339950', '2377012', '2567698', '2584971', '2971734', '3010133', '3053207', '3055316', '3066477', '3067169', '3140801', '3162513', '3162527', '3181927', '3187737', '3187750', '3191328', '3211779', '3347997', '3369600', '3373490', '3394338', '3426869', '3609132', '3610550', '3672237', '3683898', '3801097', '3864342', '3879301', '3995526', '4010196', '4067621', '4238362', '4714734', '4742918', '5363767', '5385852'], ['1000517', '1001896', '1006073', '1007334', '1009459', '1012242', '1012802', '1014533', '1016523', '1018153', '1020670', '1021193', '1022238', '1026425', '1029159', '1032645', '1034479', '1036243', '1039752', '1043201', '1044547', '1046385', '1051797', '1059336', '1059537', '1063190', '1068308', '1070851', '1079440', '1082387', '1083375', '1089523', '1138986', '1200840', '1212080', '1221515', '1258489', '1283273', '1292416', '1329941', '1398395', '1418707', '1426971', '1432422', '1438461', '1440345', '1449348', '1461903', '1467535', '1471701', '1481362', '1596305', '1772786', '1786670', '1812439', '1848256', '1856285', '1863930', '1914083', '1937939', '1949338', '1964044', '2008972', '2038238', '2064450', '2119843', '2160556', '2233893', '2256039', '2297706', '2339950', '2584971', '3053207', '3067169', '3162527', '3187750', '3347997', '3394338', '3610550', '3801097', '3995526', '4238362', '5363767']]"
"""","[['1003000', '1029791', '1040771', '1049361', '1055486', '1056733', '1059937', '1066462', '1082138', '1082154', '1082518', '1083003', '1227838', '1283273', '1292416', '1312333', '1368256', '1421921', '1431880', '1433379', '1441707', '1453210', '1464989', '1529893', '1703544', '1781300', '1803022', '1848256', '1931318', '2159042', '2250587', '2271582', '2980812', '5366275'], ['1040771', '1056733', '1082138', '1083003', '1292416', '1421921', '1441707', '1529893', '1803022', '2159042', '2980812']]"
#,"[['1026317', '1083477', '1346815', '1351652', '1418297', '1424694', '1439216', '1440468', '1465324', '1898609', '1917972', '1921479', '3191044'], ['1346815', '1424694', '1465324', '1921479']]"
#######,"[['2136484', '2295324', '2971734'], ['2971734']]"
#_#,"[['1013225', '1032501', '1035326', '1046175', '1056868', '1059336', '1080687', '1418686', '1777932', '1786670', '1884249', '1914636', '2154960', '2243692', '2257188', '2275502', '2294740', '2363651', '2971734', '3080607'], ['1035326', '1059336', '1777932', '1914636', '2257188', '2363651']]"
#_#...,"[['1069685'], []]"
$,"[['1003284', '1005576', '1012039', '1012561', '1013225', '1028842', '1039752', '1045818', '1046265', '1048007', '1050175', '1051363', '1060774', '1062193', '1077497', '1079440', '1080309', '1080544', '1082334', '1316648', '1322025', '1346815', '1427679', '1427825', '1456034', '1458164', '1467022', '1775691', '1903968', '1914636', '1919072', '1941301', '2129427', '2133074', '2133254', '2160556', '2240482', '2257188', '2258803'], ['1012039', '1028842', '1046265', '1051363', '1077497', '1080544', '1322025', '1427825', '1467022', '1914636', '2129427', '2160556', '2258803']]"
%,"[['1018136', '1046209', '1070441', '1291355', '1863930', '1907739', '2250587', '2258803'], ['1070441', '1907739']]"
&,"[['1006560', '1009257', '1013129', '1014578', '1016300', '1018153', '1022238', '1024217', '1026425', '1039487', '1040771', '1041007', '1041482', '1045818', '1049189', '1051163', '1059406', '1061118', '1063245', '1071241', '1087758', '1227838', '1400705', '1431836', '1432596', '1437131', '1440089', '1440101', '1453210', '1464989', '1465324', '1729284', '1781300', '1794620', '1819974', '1858576', '1859140', '1905830', '1917078', '1917972', '1919072', '2035179', '2062200', '2067299', '2131415', '2133556', '2143732', '2256438', '2257188', '2284311', '2295163', '2567919', '3009033', '3010130', '3010133', '3151990', '3181927', '3315879', '3333989', '3394338'], ['1013129', '1018153', '1026425', '1041007', '1049189', '1061118', '1087758', '1431836', '1440089', '1464989', '1781300', '1858576', '1917078', '2035179', '2131415', '2256438', '2295163', '3010130', '3181927', '3394338']]"
